Date,Harga_BerasPremium_BiLSTM,Harga_BerasPremium_GRU,Harga_BerasPremium_Ensemble
2024-11-07,14519.144686544918,15048.023539987847,14783.584113266383
2024-11-08,14520.340999342152,15043.483806764147,14781.91240305315
2024-11-09,14516.998518568913,15045.518290242027,14781.258404405471
2024-11-10,14516.98845085574,15039.237648056554,14778.113049456148
2024-11-11,14514.077136678634,15034.228356690495,14774.152746684565
2024-11-12,14505.510855130675,15042.949144076605,14774.22999960364
2024-11-13,14506.622062192557,15052.062438040264,14779.34225011641
2024-11-14,14503.681350292987,15044.082768579818,14773.882059436402
2024-11-15,14506.347012268687,15039.987759805987,14773.167386037338
2024-11-16,14504.179500740756,15042.612882456648,14773.396191598702
2024-11-17,14505.167747465759,15036.884487897725,14771.026117681742
2024-11-18,14503.122793566181,15032.248507336099,14767.68565045114
2024-11-19,14495.264205136154,15041.340323511655,14768.302264323906
2024-11-20,14496.830741305781,15050.60798907729,14773.719365191537
2024-11-21,14494.247500341919,15042.679060891234,14768.463280616576
2024-11-22,14496.837050406037,15038.603650599045,14767.72035050254
2024-11-23,14494.252064371889,15041.320993502364,14767.786528937126
2024-11-24,14494.539732496269,15035.712740320634,14765.12623640845
2024-11-25,14491.49512179676,15031.062933432915,14761.279027614837
2024-11-26,14482.316723287919,15040.183744622409,14761.250233955165
2024-11-27,14482.138054938152,15049.412213224761,14765.775134081458
2024-11-28,14477.41522357089,15041.409186669754,14759.412205120323
2024-11-29,14476.745385054486,15037.297264137795,14757.02132459614
2024-11-30,14470.409034856128,15040.014607041114,14755.211820948622
2024-12-01,14466.139787526326,15034.453873465556,14750.296830495941
2024-12-02,14463.898311865623,15034.414676502272,14749.156494183948
2024-12-03,14457.431752576902,15042.68469881061,14750.058225693756
2024-12-04,14460.942297042031,15052.650929434234,14756.796613238133
2024-12-05,14460.477168693466,15045.44137291339,14752.959270803429
2024-12-06,14464.63567117837,15040.124814941308,14752.380243059839
2024-12-07,14463.97428954103,15044.90536786409,14754.439828702561
2024-12-08,14466.319395529323,15036.767165480223,14751.543280504773
2024-12-09,14465.25678196302,15033.693022822074,14749.474902392547
2024-12-10,14458.676121925011,15044.09068851418,14751.383405219596
2024-12-11,14461.561931228747,15058.010845691046,14759.786388459896
2024-12-12,14460.196480850218,15050.577383229247,14755.386932039732
2024-12-13,14463.427545597682,15044.985104152416,14754.20632487505
2024-12-14,14461.908931742757,15050.017886849213,14755.963409295986
2024-12-15,14463.68205738668,15041.8435749341,14752.76281616039
2024-12-16,14462.176330204617,15038.456393514376,14750.316361859495
2024-12-17,14455.225312558037,15048.532966274372,14751.879139416204
2024-12-18,14457.929500316144,15061.336815414681,14759.633157865414
2024-12-19,14456.533041381044,15053.77005643048,14755.151548905762
2024-12-20,14460.028282922152,15048.838353573934,14754.433318248044
2024-12-21,14458.991174229219,15053.697031950935,14756.344103090076
2024-12-22,14461.55602483702,15045.361502388889,14753.458763612954
2024-12-23,14461.15130276749,15041.717795637533,14751.434549202511
2024-12-24,14455.336057402934,15051.508311107254,14753.422184255094
2024-12-25,14459.319515914814,15063.595204833515,14761.457360374165
2024-12-26,14459.35159836079,15056.15234583942,14757.751972100104
2024-12-27,14464.768833464597,15051.309775803495,14758.039304634047
2024-12-28,14465.662040977253,15056.070193299935,14760.866117138594
2024-12-29,14469.976257425891,15047.636402857324,14758.806330141608
2024-12-30,14470.842080758717,15043.87094389467,14757.356512326693
2024-12-31,14463.33290909386,15053.544673891593,14758.438791492727
